"produto_id","nome_produto","categoria_produto","preco_produto","fornecedor_id","nome_fornecedor","endereco_fornecedor","telefone_fornecedor","loja_id","nome_loja","endereco_loja","cidade_loja","quantidade_estoque","data_estoque"
1,"Produto 1","Categoria 2",10.0,2,"Fornecedor 2","Endereço 2","Telefone 2",2,"Loja 2","Endereço 2","Cidade 2",1,"2023-06-27"
2,"Produto 2","Categoria 3",20.0,3,"Fornecedor 3","Endereço 3","Telefone 3",3,"Loja 3","Endereço 3","Cidade 3",2,"2023-06-26"
3,"Produto 3","Categoria 4",30.0,4,"Fornecedor 4","Endereço 4","Telefone 4",4,"Loja 4","Endereço 4","Cidade 4",3,"2023-06-25"
4,"Produto 4","Categoria 5",40.0,5,"Fornecedor 5","Endereço 5","Telefone 5",1,"Loja 1","Endereço 1","Cidade 1",4,"2023-06-24"
5,"Produto 5","Categoria 1",50.0,6,"Fornecedor 6","Endereço 6","Telefone 6",2,"Loja 2","Endereço 2","Cidade 2",5,"2023-06-23"
6,"Produto 6","Categoria 2",60.0,7,"Fornecedor 7","Endereço 7","Telefone 7",3,"Loja 3","Endereço 3","Cidade 3",6,"2023-06-22"
7,"Produto 7","Categoria 3",70.0,8,"Fornecedor 8","Endereço 8","Telefone 8",4,"Loja 4","Endereço 4","Cidade 4",7,"2023-06-21"
8,"Produto 8","Categoria 4",80.0,9,"Fornecedor 9","Endereço 9","Telefone 9",1,"Loja 1","Endereço 1","Cidade 1",8,"2023-06-20"
9,"Produto 9","Categoria 5",90.0,10,"Fornecedor 10","Endereço 10","Telefone 10",2,"Loja 2","Endereço 2","Cidade 2",9,"2023-06-19"
10,"Produto 10","Categoria 1",100.0,11,"Fornecedor 11","Endereço 1","Telefone 1",3,"Loja 3","Endereço 3","Cidade 3",10,"2023-06-18"
11,"Produto 11","Categoria 2",110.0,12,"Fornecedor 12","Endereço 2","Telefone 2",4,"Loja 4","Endereço 4","Cidade 4",11,"2023-06-17"
12,"Produto 12","Categoria 3",120.0,13,"Fornecedor 13","Endereço 3","Telefone 3",1,"Loja 1","Endereço 1","Cidade 1",12,"2023-06-16"
13,"Produto 13","Categoria 4",130.0,14,"Fornecedor 14","Endereço 4","Telefone 4",2,"Loja 2","Endereço 2","Cidade 2",13,"2023-06-15"
14,"Produto 14","Categoria 5",140.0,15,"Fornecedor 15","Endereço 5","Telefone 5",3,"Loja 3","Endereço 3","Cidade 3",14,"2023-06-14"
15,"Produto 15","Categoria 1",150.0,16,"Fornecedor 16","Endereço 6","Telefone 6",4,"Loja 4","Endereço 4","Cidade 4",15,"2023-06-13"
16,"Produto 16","Categoria 2",160.0,17,"Fornecedor 17","Endereço 7","Telefone 7",1,"Loja 1","Endereço 1","Cidade 1",16,"2023-06-12"
17,"Produto 17","Categoria 3",170.0,18,"Fornecedor 18","Endereço 8","Telefone 8",2,"Loja 2","Endereço 2","Cidade 2",17,"2023-06-11"
18,"Produto 18","Categoria 4",180.0,19,"Fornecedor 19","Endereço 9","Telefone 9",3,"Loja 3","Endereço 3","Cidade 3",18,"2023-06-10"
19,"Produto 19","Categoria 5",190.0,20,"Fornecedor 20","Endereço 10","Telefone 10",4,"Loja 4","Endereço 4","Cidade 4",19,"2023-06-09"
20,"Produto 20","Categoria 1",200.0,21,"Fornecedor 21","Endereço 1","Telefone 1",1,"Loja 1","Endereço 1","Cidade 1",20,"2023-06-08"
21,"Produto 21","Categoria 2",210.0,22,"Fornecedor 22","Endereço 2","Telefone 2",2,"Loja 2","Endereço 2","Cidade 2",21,"2023-06-07"
22,"Produto 22","Categoria 3",220.0,23,"Fornecedor 23","Endereço 3","Telefone 3",3,"Loja 3","Endereço 3","Cidade 3",22,"2023-06-06"
23,"Produto 23","Categoria 4",230.0,24,"Fornecedor 24","Endereço 4","Telefone 4",4,"Loja 4","Endereço 4","Cidade 4",23,"2023-06-05"
24,"Produto 24","Categoria 5",240.0,25,"Fornecedor 25","Endereço 5","Telefone 5",1,"Loja 1","Endereço 1","Cidade 1",24,"2023-06-04"
25,"Produto 25","Categoria 1",250.0,26,"Fornecedor 26","Endereço 6","Telefone 6",2,"Loja 2","Endereço 2","Cidade 2",25,"2023-06-03"
26,"Produto 26","Categoria 2",260.0,27,"Fornecedor 27","Endereço 7","Telefone 7",3,"Loja 3","Endereço 3","Cidade 3",26,"2023-06-02"
27,"Produto 27","Categoria 3",270.0,28,"Fornecedor 28","Endereço 8","Telefone 8",4,"Loja 4","Endereço 4","Cidade 4",27,"2023-06-01"
28,"Produto 28","Categoria 4",280.0,29,"Fornecedor 29","Endereço 9","Telefone 9",1,"Loja 1","Endereço 1","Cidade 1",28,"2023-05-31"
29,"Produto 29","Categoria 5",290.0,30,"Fornecedor 30","Endereço 10","Telefone 10",2,"Loja 2","Endereço 2","Cidade 2",29,"2023-05-30"
30,"Produto 30","Categoria 1",300.0,1,"Fornecedor 1","Endereço 1","Telefone 1",3,"Loja 3","Endereço 3","Cidade 3",30,"2023-05-29"
31,"Produto 31","Categoria 2",310.0,2,"Fornecedor 2","Endereço 2","Telefone 2",4,"Loja 4","Endereço 4","Cidade 4",31,"2023-05-28"
32,"Produto 32","Categoria 3",320.0,3,"Fornecedor 3","Endereço 3","Telefone 3",1,"Loja 1","Endereço 1","Cidade 1",32,"2023-05-27"
33,"Produto 33","Categoria 4",330.0,4,"Fornecedor 4","Endereço 4","Telefone 4",2,"Loja 2","Endereço 2","Cidade 2",33,"2023-05-26"
34,"Produto 34","Categoria 5",340.0,5,"Fornecedor 5","Endereço 5","Telefone 5",3,"Loja 3","Endereço 3","Cidade 3",34,"2023-05-25"
35,"Produto 35","Categoria 1",350.0,6,"Fornecedor 6","Endereço 6","Telefone 6",4,"Loja 4","Endereço 4","Cidade 4",35,"2023-05-24"
36,"Produto 36","Categoria 2",360.0,7,"Fornecedor 7","Endereço 7","Telefone 7",1,"Loja 1","Endereço 1","Cidade 1",36,"2023-05-23"
37,"Produto 37","Categoria 3",370.0,8,"Fornecedor 8","Endereço 8","Telefone 8",2,"Loja 2","Endereço 2","Cidade 2",37,"2023-05-22"
38,"Produto 38","Categoria 4",380.0,9,"Fornecedor 9","Endereço 9","Telefone 9",3,"Loja 3","Endereço 3","Cidade 3",38,"2023-05-21"
39,"Produto 39","Categoria 5",390.0,10,"Fornecedor 10","Endereço 10","Telefone 10",4,"Loja 4","Endereço 4","Cidade 4",39,"2023-05-20"
40,"Produto 40","Categoria 1",400.0,11,"Fornecedor 11","Endereço 1","Telefone 1",1,"Loja 1","Endereço 1","Cidade 1",40,"2023-05-19"
